generation,fitness_score
1,1.7424915220215529
2,2.282437667244621
3,1.9651674211050962
4,2.189366153019924
5,1.9112943822947697
6,2.181515702305614
7,2.362070042184696
8,2.4745618373454734
9,2.000247619053542
10,2.1628392938774605
11,1.8881429782943793
12,2.098263713188893
13,1.9556078424262602
14,2.0384284253715266
15,1.590432992570684
16,1.5643220011408117
17,1.5297656267143138
18,1.551661555514844
19,2.3729215064152362
20,2.126509006382381
21,2.0770301066986034
22,2.447627847351205
23,2.1236656191107017
24,2.1143635570170347
25,2.1150824305357596
26,2.43795783915404
27,2.377901918035237
28,2.437338964998654
